index,pixel_id,Year_1987,Year_1988,Year_1989,Year_1990,Year_1991,Year_1992,Year_1993,Year_1994,Year_1995,Year_1996,Year_1997,Year_1998,Year_1999,Year_2000,Year_2001,Year_2002,Year_2003,Year_2004,Year_2005,Year_2006,Year_2007,Year_2008,Year_2009,Year_2010,Year_2011,Year_2012,Year_2013,Year_2014,Year_2015,Year_2016,Year_2017,Year_2018,Year_2019,Year_2020,Year_2021,Year_2022,Year_2023,longitude,latitude
20,20,0.362553541,0.370150796,0.387914063,0.228927965,0.342384211,0.716458029,0.325889486,0.147090859,0.618747545,0.78439949,0.121509185,0.59443836,0.206487557,0.338493965,0.702675533,0.46457017,0.8104063,0.301110943,0.309121764,0.248872101,0.33452098,0.488340795,0.401721324,0.119684019,0.319926394,-0.377721668,0,-0.205054461,0.127518345,0.369846418,0.452228017,0.427720368,0.244253725,0.490210664,0.279355766,0.224875195,0.804574959,105.6290764,20.30762972
21,21,0.36945141,0.375585774,0.40685538,0.27019082,0.352928146,0.718652325,0.33072899,0.152993486,0.631267958,0.800698599,0.127161117,0.60181408,0.199795891,0.341627583,0.703255951,0.470389488,0.799722436,0.271015331,0.343351564,0.302066455,0.308786598,0.479044701,0.394096292,0.125177002,0.308275671,-0.377468303,0,-0.206097447,0.144581768,0.377900573,0.45565038,0.414264724,0.234143139,0.411720975,0.2752181,0.225594878,0.816013331,105.6293459,20.30762972
22,22,0.370230516,0.38948522,0.408848971,0.304726873,0.366316413,0.725501797,0.332339813,0.160421996,0.652297793,0.811431753,0.121317031,0.613841154,0.198471952,0.35040088,0.705435965,0.479379448,0.781447321,0.262143648,0.366878236,0.298278669,0.290777169,0.484726661,0.412924015,0.122980509,0.316040017,-0.374993239,0,-0.205305029,0.155862611,0.360480789,0.454738631,0.434686422,0.239233182,0.381667223,0.26713307,0.230788843,0.831912385,105.6296154,20.30762972
23,23,0.381954544,0.390875514,0.391488335,0.298553309,0.368567417,0.755856627,0.33071828,0.157745806,0.649820645,0.821310785,0.112229531,0.613739873,0.200537154,0.344576653,0.696837162,0.484014994,0.719058236,0.266381373,0.393345586,0.298006035,0.203904862,0.49738368,0.437382778,0.12511827,0.330956533,-0.371395645,0,-0.206264257,0.144588363,0.316945994,0.458009466,0.420267632,0.248138072,0.378014579,0.278644662,0.24109213,0.805685167,105.6298849,20.30762972
24,24,0.383961459,0.392639753,0.382848136,0.296501606,0.367502285,0.788311526,0.328628538,0.155357969,0.648641835,0.824076322,0.103844859,0.616663121,0.201775958,0.345445078,0.697586903,0.482095811,0.719488593,0.307614062,0.399454434,0.302353889,0.211831707,0.508627818,0.442797046,0.119569858,0.33686384,-0.377207191,0,-0.207265874,0.014219994,-0.096186391,0.463647463,0.422487618,0.243395195,0.389660622,0.291710584,0.241246457,0.730426689,105.6301544,20.30762972
25,25,0.384666565,0.396396658,0.386148749,0.363691899,0.367547051,0.801745457,0.32793127,0.158707395,0.642880258,0.822146297,0.10056364,0.616857503,0.204300538,0.349489234,0.718177302,0.490661139,0.648613337,0.312352813,0.363076747,0.251963802,0.207402515,0.511912069,0.527785802,0.129010253,0.352060757,-0.386238274,0,-0.20543009,0.022301766,-0.100448328,0.460547887,0.428706336,0.240895262,0.368798503,0.298183197,0.241052296,0.70585976,105.6304239,20.30762972
26,26,0.390870288,0.400056653,0.38023237,0.406601108,0.362960332,0.805267246,0.327674854,0.154165347,0.655040869,0.81850264,0.102372902,0.616277523,0.192194472,0.355648359,0.733664818,0.493295407,0.543408862,0.324910292,0.431014751,0.252272976,0.211383931,0.519249422,0.52914381,0.124607165,0.352615097,-0.383154726,0,-0.204766256,0.168905631,-0.116451801,0.458614272,0.428007144,0.23720635,0.344558803,0.30674194,0.23729242,0.706673113,105.6306934,20.30762972
27,27,0.390870288,0.400056653,0.38023237,0.406601108,0.362960332,0.805267246,0.327674854,0.154165347,0.655040869,0.81850264,0.102372902,0.616277523,0.192194472,0.355648359,0.733664818,0.493295407,0.543408862,0.324910292,0.431014751,0.252272976,0.211383931,0.519249422,0.52914381,0.124607165,0.352615097,-0.383154726,0,-0.204766256,0.168905631,-0.116451801,0.458614272,0.428007144,0.23720635,0.344558803,0.30674194,0.23729242,0.706673113,105.6309629,20.30762972
28,28,0.386910539,0.395310356,0.383786854,0.411038335,0.351628429,0.800606552,0.324610435,0.07540886,0.65860798,0.808376621,0.0948051,0.61249336,0.187876633,0.350263673,0.741747024,0.488170524,0.514666282,0.223799141,0.45065684,0.262123963,0.217309191,0.521352171,0.530907882,0.118751675,0.349979908,-0.390663061,0,-0.204663556,0.175719076,-0.126025236,0.455167252,0.425850773,0.230882917,0.19952274,0.301647257,0.239209004,0.747569074,105.6312324,20.30762972
29,29,0.379618996,0.382891213,0.380689765,0.44319711,0.350019542,0.79969456,0.325876382,0.066480981,0.658803153,0.771662341,0.09195605,0.597744938,0.179111975,0.340606185,0.717525754,0.473236252,0.494438116,0.2261221,0.455300654,0.268310986,0.219346102,0.514688295,0.540910934,0.122831525,0.348251003,-0.418824216,0,-0.206210008,0.179033731,-0.123390908,0.457842713,0.430899629,0.231117202,0.117276909,0.313408667,0.236098297,0.752092448,105.6315019,20.30762972
30,30,0.38273513,0.377139054,0.373641508,0.455640253,0.349005393,0.793361474,0.326863453,0.052301989,0.645569635,0.740717573,0.094034247,0.598012821,0.1727137,0.340922574,0.657538955,0.474237703,0.494750368,0.223513568,0.417578175,0.258462609,0.21053993,0.514456183,0.545890057,0.124645153,0.345854652,-0.20717479,0,-0.203506249,0.197861412,-0.107699334,0.456031257,0.427695228,0.226853363,0.076046537,0.30117137,0.219492102,0.728600173,105.6317714,20.30762972
31,31,0.379461405,0.376626758,0.385405303,0.449036067,0.344340273,0.786890342,0.324393088,0.129003159,0.648294053,0.755778963,0.108465109,0.595699061,0.171151502,0.341218901,0.616140402,0.479114946,0.537153066,0.224628704,0.382863635,0.247492408,0.219129997,0.516211883,0.527733186,0.124645153,0.34954632,-0.194628074,0,-0.202163633,0.212923435,-0.107181631,0.450402497,0.420849687,0.211143203,0.050394197,0.303896686,0.201990122,0.666788135,105.6320409,20.30762972
32,32,0.383748018,0.371532419,0.388833463,0.430705629,0.347489923,0.773397783,0.323444225,0.132498235,0.613403527,0.776228226,0.122070059,0.598182856,0.175242111,0.33730178,0.616144363,0.482265256,0.613612884,0.228556349,0.351932263,0.237227896,0.213260203,0.512750719,0.512936841,0.120936226,0.341632812,0.070169938,0,-0.199087023,0.193363458,-0.106581608,0.448881728,0.42240548,0.208672618,0.051892915,0.291726294,0.197798377,0.737071997,105.6323104,20.30762972
33,33,0.37450792,0.363418605,0.380577294,0.434383309,0.33916096,0.770238762,0.320522965,0.127429934,0.598470487,0.781267621,0.121494819,0.591189291,0.177028438,0.317508703,0.587489178,0.484143016,0.655515348,0.243046897,0.345446903,0.219997413,0.203851962,0.51114263,0.430690119,0.122833441,0.351109989,0.142047525,0,-0.196797523,0.177548586,-0.1140233,0.449681764,0.411626984,0.223008008,0.323786208,0.285346883,0.187563744,0.764988556,105.6325798,20.30762972
34,34,0.379791638,0.352180194,0.347218555,0.441998422,0.340399149,0.749505789,0.314495636,0.117583682,0.571968837,0.785202376,0.134049089,0.586521559,0.186024744,0.301218637,0.564177363,0.479192258,0.676245767,0.253845231,0.362924526,0.289637321,0.209274501,0.504296317,0.436539554,0.122544212,0.363837675,0.17798418,0,-0.198721965,0.19010016,-0.11126364,0.446300998,0.442357972,0.20466053,0.345413309,0.429677659,0.165990777,0.740270999,105.6328493,20.30762972
35,35,0.374457251,0.362589148,0.347217757,0.438099851,0.354164749,0.754989417,0.325398249,0.130659959,0.57465548,0.786787379,0.147460714,0.591836782,0.193563716,0.31556972,0.576602642,0.489703852,0.704383858,0.257437766,0.375047871,0.293696458,0.213945358,0.504920531,0.432173355,0.120979893,0.381479908,-0.008523341,0,-0.199490021,0.194363048,-0.100851816,0.440375686,0.42714914,0.209478674,0.364565336,0.43084388,0.1564352,0.764227329,105.6331188,20.30762972
36,36,0.376643883,0.384788184,0.352835942,0.465427866,0.372432699,0.796374502,0.348104013,0.1446667,0.610454712,0.813766485,0.180900539,0.610573767,0.203585588,0.333931956,0.573260675,0.501687089,0.739085869,0.262977689,0.357539204,0.288319797,0.220109672,0.507119873,0.445442194,0.124704649,0.410769929,-0.000600482,0,-0.202098603,0.274444326,-0.073644197,0.43598173,0.424743068,0.221825219,0.402618653,0.444056969,0.149025013,0.750937368,105.6333883,20.30762972
37,37,0.383379945,0.388131561,0.356190985,0.476718284,0.396167567,0.80334375,0.355668889,0.14342352,0.630141457,0.823659481,0.204909512,0.613458403,0.196546955,0.341769184,0.578395954,0.519879746,0.760096994,0.186005661,0.351861512,0.296525118,0.226394255,0.510490029,0.471854197,0.124715685,0.406951304,0.007435611,0,-0.199353512,0.181198542,-0.053711584,0.445595579,0.427444404,0.22593932,0.489165082,0.443562754,0.153441227,0.727790724,105.6336578,20.30762972
38,38,0.389240283,0.387602412,0.295359786,0.476785794,0.419620174,0.795214256,0.35641034,0.075546088,0.633208536,0.815506474,0.211904305,0.622019151,0.191031681,0.348452444,0.577347139,0.528714609,0.805001728,0.197108544,0.347366066,0.257122746,0.228483151,0.515592552,0.508863164,0.120674527,0.410798457,0.000349003,0,-0.196041236,0.150874512,-0.034975331,0.456552173,0.429804678,0.231867959,0.574118921,0.454349257,0.167344023,0.787811357,105.6339273,20.30762972
39,39,0.390462814,0.389540658,0.297168981,0.440974886,0.43093462,0.812852034,0.362110595,0.083805444,0.633624575,0.825768128,0.220830251,0.626535532,0.184580836,0.348832957,0.582460448,0.542578538,0.837822418,0.164891897,0.362823242,0.234692074,0.226351569,0.512608629,0.517936533,0.124409453,0.418459122,0.016776761,0,-0.197745115,0.124357015,-0.033070228,0.464876412,0.423560661,0.234190873,0.674476746,0.452317503,0.158288773,0.7469154,105.6341968,20.30762972
40,40,0.393262084,0.401155372,0.305175008,0.30100802,0.436418532,0.819609418,0.358528279,0.086643016,0.639045825,0.835986181,0.223214058,0.627777885,0.177791635,0.351851771,0.594178826,0.566348158,0.822753662,0.165480854,0.39081293,0.231687491,0.229713712,0.516144167,0.503478691,0.118504452,0.40509162,0.031214648,0,-0.19568856,0.075361768,-0.04175821,0.455047686,0.396800554,0.232470272,0.716776166,0.451308102,0.151962824,0.750287564,105.6344663,20.30762972
41,41,0.395127663,0.396131915,0.342534407,0.305794864,0.435876933,0.810881978,0.356472419,0.15741057,0.638910972,0.819872623,0.20537342,0.629216556,0.183727578,0.349388152,0.576842719,0.567828046,0.781824875,0.172754875,0.393734313,0.241445806,0.237379656,0.517111222,0.504497266,0.124072885,0.40281247,0.004350248,0,-0.198007381,-0.007212329,-0.027068676,0.46052133,0.4008121,0.229591135,0.727387844,0.463142427,0.148140051,0.810412705,105.6347358,20.30762972
42,42,0.388857144,0.398713976,0.346879379,0.335137077,0.431365346,0.807846031,0.350433041,0.072888181,0.635349281,0.81709333,0.190357768,0.616107762,0.195223758,0.350078275,0.555319328,0.55990796,0.736004548,0.177064765,0.438190989,0.256600428,0.23924295,0.516102639,0.509357891,0.120290036,0.402480977,0.200404412,0,-0.197359738,-0.215366179,-0.016058635,0.46218564,0.409883369,0.223039436,0.730672567,0.452391117,0.147888916,0.850931345,105.6350053,20.30762972
43,43,0.388857144,0.398713976,0.346879379,0.335137077,0.431365346,0.807846031,0.350433041,0.072888181,0.635349281,0.81709333,0.190357768,0.616107762,0.195223758,0.350078275,0.555319328,0.55990796,0.736004548,0.177064765,0.438190989,0.256600428,0.23924295,0.516102639,0.509357891,0.120290036,0.402480977,0.200404412,0,-0.197359738,-0.215366179,-0.016058635,0.46218564,0.409883369,0.223039436,0.730672567,0.452391117,0.147888916,0.850931345,105.6352748,20.30762972
44,44,0.384669225,0.390842005,0.351112078,0.254936828,0.397620763,0.804095723,0.348230893,0.078389395,0.610603576,0.794572923,0.177993852,0.599388718,0.19617478,0.348418832,0.535514275,0.553115948,0.676346697,0.175752158,0.449388576,0.288798428,0.241592997,0.520333414,0.516433115,0.122435055,0.399242787,0.221408181,0,-0.194718316,-0.199001315,-0.028967108,0.454965574,0.431136832,0.229320285,0.72190484,0.440860944,0.148080809,0.857936487,105.6355443,20.30762972
45,45,0.382783266,0.385886151,0.356028175,0.258060781,0.376504565,0.804365467,0.3389749,0.085392006,0.61011571,0.787160058,0.167543179,0.601651316,0.187170687,0.34401727,0.50266509,0.549213857,0.665495888,0.180479466,0.44132046,0.318401518,0.236554837,0.512639756,0.50724626,0.124403473,0.409190047,0.190133204,0,-0.19573419,-0.186269513,-0.05536697,0.455331885,0.434832065,0.227221508,0.720465546,0.445735454,0.149108063,0.855133074,105.6358138,20.30762972
46,46,0.385832451,0.380758048,0.348937869,0.357114889,0.369913693,0.782982533,0.338174078,0.087204882,0.596207837,0.784972698,0.16392123,0.603312748,0.197966244,0.334503527,0.474219609,0.552835234,0.668316558,0.186242865,0.421150222,0.324668034,0.230982349,0.522430919,0.497214843,0.122552798,0.400073503,-0.016214872,0,-0.191884325,-0.181090354,-0.082021358,0.453183893,0.432013369,0.230271139,0.713045916,0.440091888,0.164515779,0.851562756,105.6360833,20.30762972
47,47,0.383265085,0.382274798,0.349085147,0.412155488,0.379385041,0.800427849,0.344146609,0.067842983,0.572817442,0.809595965,0.165809226,0.602649112,0.201529398,0.309748934,0.438546415,0.561428662,0.694309706,0.259829072,0.410775765,0.34544714,0.230451831,0.527509903,0.503477327,0.12656774,0.426848557,-0.01262658,0,-0.194038278,-0.162354697,-0.110187127,0.459956827,0.434746868,0.227409031,0.722644959,0.447067945,0.144337513,0.878137948,105.6363528,20.30762972
48,48,0.377186705,0.390987708,0.353536536,0.39876853,0.382898602,0.794935515,0.344905418,0.061276558,0.55973956,0.796166757,0.157533207,0.613795051,0.196529021,0.302531815,0.449807039,0.576186661,0.759783059,0.281414371,0.398673702,0.351038226,0.231503888,0.531449978,0.453710665,0.126214452,0.451061763,0.189462403,0,-0.192015572,-0.105935065,-0.12261994,0.457729138,0.435138373,0.233273254,0.721861616,0.453318767,0.123243842,0.772665055,105.6366223,20.30762972
49,49,0.385016501,0.385491504,0.352991558,0.360371134,0.379746132,0.793902801,0.345990628,0.058133185,0.555155521,0.790357931,0.143536466,0.615786993,0.188994256,0.316056832,0.496456265,0.593235248,0.797952781,0.299498151,0.397530279,0.360745914,0.227701834,0.523375263,0.458788274,0.124740886,0.467167888,0.209441371,0,-0.193085545,0.076594204,-0.119355578,0.462939441,0.431720324,0.240755523,0.717351849,0.458429625,0.103222032,0.827134005,105.6368918,20.30762972
50,50,0.389038773,0.394078543,0.359539394,0.360704373,0.398896313,0.795454176,0.350445076,0.092505534,0.562322421,0.801742753,0.137630241,0.617085171,0.199743052,0.330233542,0.507350597,0.573757939,0.809892454,0.322653713,0.396181448,0.344481868,0.227439709,0.524632017,0.455655252,0.125084251,0.484760297,0.226723178,0,-0.192918603,0.139696978,-0.109886234,0.464753335,0.430480875,0.247076102,0.723437944,0.461891472,0.095182933,0.830868182,105.6371613,20.30762972
51,51,0.381430131,0.393324414,0.366535411,0.414280581,0.397503669,0.79541992,0.349187784,0.029138632,0.559372977,0.811633094,0.13638638,0.621815591,0.202012793,0.335660879,0.541190979,0.551094555,0.811211056,0.353267958,0.366582705,0.310969329,0.220505649,0.526231961,0.443539322,0.128847246,0.484282746,0.322975919,0,-0.194840001,0.201627526,-0.108398805,0.462456495,0.436659107,0.240507183,0.72260125,0.455569432,0.089509144,0.807389524,105.6374308,20.30762972
52,52,0.383966167,0.37937439,0.507702027,0.443784377,0.41660441,0.778531552,0.311214604,0.154864438,0.554559809,0.802473349,0.188499291,0.605586414,0.211314091,0.346416931,0.741034935,0.502371457,0.786693266,0.402115871,0.328997406,0.253453011,0.277693244,0.529099324,0.545681312,0.120743896,0.195354763,0.228220249,0,-0.062462022,-0.177613695,0.328126567,0.847115038,0.344844823,0.259282734,0.662462178,-0.026711383,0.545660137,0.783486774,105.6236865,20.30789922
53,53,0.375225839,0.36365843,0.520457199,0.395202707,0.426696193,0.771626236,0.304042632,0.146003866,0.557946038,0.766659451,0.185639185,0.597694368,0.204083721,0.344467535,0.716309029,0.494579884,0.775662348,0.438233748,0.32948006,0.316337574,0.267413872,0.525001526,0.533523916,0.12258851,0.325277187,0.193309744,0,-0.064123971,-0.176535727,0.344153495,0.874258181,0.345318451,0.256914837,0.661413231,-0.024821964,0.541625096,0.835074897,105.623956,20.30789922
54,54,0.364210192,0.369994748,0.500084538,0.41834013,0.413968438,0.755191688,0.307524508,0.143830128,0.551906287,0.755992108,0.188284026,0.560444691,0.202581628,0.332150171,0.712117792,0.480258195,0.726279639,0.415591332,0.312649924,0.310969595,0.252425002,0.513229027,0.519557215,0.127275123,0.323537453,0.141419929,0,-0.066911748,-0.178687198,0.410476274,0.873590769,0.345611022,0.261563511,0.653327399,-0.029888373,0.551752236,0.812693752,105.6242255,20.30789922
55,55,0.381246661,0.370221013,0.520717922,0.453223528,0.419051626,0.763709805,0.303852276,0.142443375,0.510249695,0.746939639,0.194603939,0.51626232,0.207241716,0.336190261,0.659538177,0.469042104,0.730677843,0.386811829,0.33810037,0.323937503,0.234714763,0.519716764,0.530362652,0.123409677,0.261562686,0.162350006,0,-0.205077076,-0.167031987,0.538444939,0.852861076,0.010956563,0.2525929,0.61703523,-0.025206538,0.576133016,0.823263989,105.624495,20.30789922
