system:index,NDVI,year,.geo
5_9,-761.3365,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
5_10,-784.45593,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
5_11,-775.49713,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
5_12,-761.3365,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.464487640499553]}"
5_13,-765.0218,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.464487640499553]}"
5_14,-788.43536,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.464487640499553]}"
5_15,-791.7643,1990,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.464487640499553]}"
6_0,-567.74005,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4652961242552602]}"
6_1,-538.2708,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4652961242552602]}"
6_2,-593.56244,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4652961242552602]}"
6_3,-593.56244,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4652961242552602]}"
6_4,-561.66925,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4650266296700245]}"
6_5,-594.6255,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4650266296700245]}"
6_6,-583.5662,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4650266296700245]}"
6_7,-573.1882,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4650266296700245]}"
6_8,-567.74005,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21700216776862,-3.4647571350847888]}"
6_9,-551.9816,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.21673267318339,-3.4647571350847888]}"
6_10,-573.1882,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216463178598154,-3.4647571350847888]}"
6_11,-588.62506,1991,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-62.216193684012914,-3.4647571350847888]}"
